pharmacy_name,address_normalized,phone_normalized,is_late_night,is_year_round,is_public_late_night,needs_manual_review,conflict_fields,latest_source_updated_at,source_record_count,late_night_weekday_hours_source_raw,late_night_weekday_hours_normalized,late_night_weekday_open_time,late_night_weekday_close_time,late_night_weekday_closes_next_day,late_night_weekday_break_note,late_night_saturday_hours_source_raw,late_night_saturday_hours_normalized,late_night_saturday_open_time,late_night_saturday_close_time,late_night_saturday_closes_next_day,late_night_saturday_break_note,late_night_sunday_hours_source_raw,late_night_sunday_hours_normalized,late_night_sunday_open_time,late_night_sunday_close_time,late_night_sunday_closes_next_day,late_night_sunday_break_note,year_round_weekday_hours_source_raw,year_round_weekday_hours_normalized,year_round_weekday_open_time,year_round_weekday_close_time,year_round_weekday_closes_next_day,year_round_weekday_break_note,year_round_saturday_hours_source_raw,year_round_saturday_hours_normalized,year_round_saturday_open_time,year_round_saturday_close_time,year_round_saturday_closes_next_day,year_round_saturday_break_note,year_round_sunday_hours_source_raw,year_round_sunday_hours_normalized,year_round_sunday_open_time,year_round_sunday_close_time,year_round_sunday_closes_next_day,year_round_sunday_break_note
만종대형약국,원주시 원문로 631 (호저면),033-731-1365,True,True,False,False,,2026-07-08,2,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~22:00,08:00~22:00,08:00,22:00,False,
원주대형약국,원주시 호저면 원문로 691 (호저면),033-733-1065,True,True,False,False,,2026-07-08,2,08:00~23:00,08:00~23:00,08:00,23:00,False,,08:00~23:00,08:00~23:00,08:00,23:00,False,,08:00~23:00,08:00~23:00,08:00,23:00,False,,08:00~23:00,08:00~23:00,08:00,23:00,False,,08:00~23:00,08:00~23:00,08:00,23:00,False,,08:00~23:00,08:00~23:00,08:00,23:00,False,
온누리바다약국,원주시 북원로2698 (태장동),033-742-4146,True,False,False,False,,2026-07-08,1,08:30~21:00,08:30~21:00,08:30,21:00,False,,08:30~18:00,08:30~18:00,08:30,18:00,False,,-,-,,,False,,,,,,False,,,,,,False,,,,,,False,
금빛누리약국,원주시 지정면 신지정로 190 105호,033-742-5458,True,True,False,False,,2026-07-08,2,09:00~21:00,09:00~21:00,09:00,21:00,False,,09:00~17:00,09:00~17:00,09:00,17:00,False,,10:00~17:00,10:00~17:00,10:00,17:00,False,,09:00~21:00,09:00~21:00,09:00,21:00,False,,09:00~17:00,09:00~17:00,09:00,17:00,False,,10:00~17:00,10:00~17:00,10:00,17:00,False,
행복약국,원주시 시청로 70 (무실동),033-742-5875,True,True,False,False,,2026-07-08,2,08:00~21:00,08:00~21:00,08:00,21:00,False,,08:00~19:00,08:00~19:00,08:00,19:00,False,,08:00~20:30,08:00~20:30,08:00,20:30,False,,08:00~21:00,08:00~21:00,08:00,21:00,False,,08:00~19:00,08:00~19:00,08:00,19:00,False,,08:00~20:30,08:00~20:30,08:00,20:30,False,
이마트윤약국,원주시 북원로 1928 (무실동 이마트 2층),033-743-7199,True,False,False,False,,2026-07-08,1,10:00~22:00,10:00~22:00,10:00,22:00,False,,10:00~22:00,10:00~22:00,10:00,22:00,False,,10:00~22:00,10:00~22:00,10:00,22:00,False,,,,,,False,,,,,,False,,,,,,False,
무실하늘약국,원주시 시청로 72 (무실동),033-744-4056,True,False,False,False,,2026-07-08,1,08:00~21:30,08:00~21:30,08:00,21:30,False,,08:00~19:00,08:00~19:00,08:00,19:00,False,,-,-,,,False,,,,,,False,,,,,,False,,,,,,False,
원주시장약국,원주시 중앙로136 (중앙동),033-745-7575,True,False,False,False,,2026-07-08,1,08:00~22:00,08:00~22:00,08:00,22:00,False,,08:00~20:00,08:00~20:00,08:00,20:00,False,,09:00~19:00,09:00~19:00,09:00,19:00,False,,,,,,False,,,,,,False,,,,,,False,
D마트약국,원주시 천사로 50 (단계동),033-746-0114,True,False,False,False,,2026-07-08,1,09:00~21:30,09:00~21:30,09:00,21:30,False,,09:00~21:00,09:00~21:00,09:00,21:00,False,,09:30~21:00,09:30~21:00,09:30,21:00,False,,,,,,False,,,,,,False,,,,,,False,
아리시장약국,원주시 무실로 178 (단계동),033-747-7515,True,False,False,False,,2026-07-08,1,09:00~20:00 (13~14시 휴게시간),09:00~20:00 (13:00~14:00 휴게시간),09:00,20:00,False,13:00~14:00 휴게시간,10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),10:00,20:00,False,13:00~14:00 휴게시간,10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),10:00,20:00,False,13:00~14:00 휴게시간,,,,,False,,,,,,False,,,,,,False,
아침약국,원주시 단구로 394 (단구동),033-761-2003,True,True,True,False,,2026-07-08,2,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00,01:00,True,19:00~22:00 휴게시간
구곡시장약국,원주시 남원로534번길 14 (단구동),033-761-4827,True,True,False,True,saturday_hours_normalized,2026-07-08,2,08:30~22:00,08:30~22:00,08:30,22:00,False,,-,-,,,False,,12:00~22:00,12:00~22:00,12:00,22:00,False,,08:30~22:00,08:30~22:00,08:30,22:00,False,,08:30~22:00,08:30~22:00,08:30,22:00,False,,12:00~22:00,12:00~22:00,12:00,22:00,False,
나나약국,원주시 오성마을길 57-22 (단구동),033-762-2783,True,True,False,False,,2026-07-08,2,09:00~21:00,09:00~21:00,09:00,21:00,False,,09:00~18:00,09:00~18:00,09:00,18:00,False,,09:00~18:00,09:00~18:00,09:00,18:00,False,,09:00~21:00,09:00~21:00,09:00,21:00,False,,09:00~18:00,09:00~18:00,09:00,18:00,False,,09:00~18:00,09:00~18:00,09:00,18:00,False,
유한약국,원주시 예술관길 28 (명륜동),033-763-0097,True,False,False,False,,2026-07-08,1,08:30~22:00,08:30~22:00,08:30,22:00,False,,08:30~22:00,08:30~22:00,08:30,22:00,False,,09:30~21:00,09:30~21:00,09:30,21:00,False,,,,,,False,,,,,,False,,,,,,False,
삼육오약국,원주시 단구로 386 (단구동),033-763-4072,True,True,False,False,,2026-07-08,2,09:00~22:00,09:00~22:00,09:00,22:00,False,,09:00~22:00,09:00~22:00,09:00,22:00,False,,12:30~22:00,12:30~22:00,12:30,22:00,False,,09:00~22:00,09:00~22:00,09:00,22:00,False,,09:00~22:00,09:00~22:00,09:00,22:00,False,,12:30~22:00,12:30~22:00,12:30,22:00,False,
원주대문약국,원주시 서원대로 174 (단계동),033-763-6342,True,True,False,True,weekday_hours_normalized|saturday_hours_normalized|sunday_hours_normalized,2026-07-08,2,08:00~24:00,08:00~24:00,08:00,24:00,False,,08:00~24:00,08:00~24:00,08:00,24:00,False,,08:00~24:00,08:00~24:00,08:00,24:00,False,,08:00~12:00,08:00~12:00,08:00,12:00,False,,08:00~12:00,08:00~12:00,08:00,12:00,False,,08:00~12:00,08:00~12:00,08:00,12:00,False,
