schedule_segment_id,source_record_id,pharmacy_name,source_type,source_url,source_updated_at,day_type,hours_source_raw,hours_normalized,schedule_status,open_time,close_time,closes_next_day,break_note,institution_id,institution_match_status,effective_schedule_status,review_required
pharmacy-source:001:weekday,pharmacy-source:001,아침약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:001:saturday,pharmacy-source:001,아침약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:001:sunday,pharmacy-source:001,아침약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:002:weekday,pharmacy-source:002,D마트약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~21:30,09:00~21:30,parsed,09:00,21:30,False,,wonju:13193242,auto_matched,source_values,False
pharmacy-source:002:saturday,pharmacy-source:002,D마트약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193242,auto_matched,source_values,False
pharmacy-source:002:sunday,pharmacy-source:002,D마트약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:30~21:00,09:30~21:00,parsed,09:30,21:00,False,,wonju:13193242,auto_matched,source_values,False
pharmacy-source:003:weekday,pharmacy-source:003,구곡시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:003:saturday,pharmacy-source:003,구곡시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,-,-,not_provided,,,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:003:sunday,pharmacy-source:003,구곡시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,12:00~22:00,12:00~22:00,parsed,12:00,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:004:weekday,pharmacy-source:004,금빛누리약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:004:saturday,pharmacy-source:004,금빛누리약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,09:00~17:00,09:00~17:00,parsed,09:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:004:sunday,pharmacy-source:004,금빛누리약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,10:00~17:00,10:00~17:00,parsed,10:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:005:weekday,pharmacy-source:005,무실하늘약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~21:30,08:00~21:30,parsed,08:00,21:30,False,,wonju:13193155,auto_matched,source_values,False
pharmacy-source:005:saturday,pharmacy-source:005,무실하늘약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~19:00,08:00~19:00,parsed,08:00,19:00,False,,wonju:13193155,auto_matched,source_values,False
pharmacy-source:005:sunday,pharmacy-source:005,무실하늘약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,-,-,not_provided,,,False,,wonju:13193155,auto_matched,source_values,False
pharmacy-source:006:weekday,pharmacy-source:006,삼육오약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:006:saturday,pharmacy-source:006,삼육오약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:006:sunday,pharmacy-source:006,삼육오약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,12:30~22:00,12:30~22:00,parsed,12:30,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:007:weekday,pharmacy-source:007,아리시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~20:00 (13~14시 휴게시간),09:00~20:00 (13:00~14:00 휴게시간),parsed,09:00,20:00,False,13:00~14:00 휴게시간,wonju:13193193,auto_matched,source_values,False
pharmacy-source:007:saturday,pharmacy-source:007,아리시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),parsed,10:00,20:00,False,13:00~14:00 휴게시간,wonju:13193193,auto_matched,source_values,False
pharmacy-source:007:sunday,pharmacy-source:007,아리시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),parsed,10:00,20:00,False,13:00~14:00 휴게시간,wonju:13193193,auto_matched,source_values,False
pharmacy-source:008:weekday,pharmacy-source:008,원주대문약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~24:00,08:00~24:00,parsed,08:00,24:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:008:saturday,pharmacy-source:008,원주대문약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~24:00,08:00~24:00,parsed,08:00,24:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:008:sunday,pharmacy-source:008,원주대문약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,08:00~24:00,08:00~24:00,parsed,08:00,24:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:009:weekday,pharmacy-source:009,원주대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:009:saturday,pharmacy-source:009,원주대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:009:sunday,pharmacy-source:009,원주대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:010:weekday,pharmacy-source:010,만종대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:010:saturday,pharmacy-source:010,만종대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:010:sunday,pharmacy-source:010,만종대형약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:011:weekday,pharmacy-source:011,이마트윤약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,10:00~22:00,10:00~22:00,parsed,10:00,22:00,False,,wonju:13193188,auto_matched,source_values,False
pharmacy-source:011:saturday,pharmacy-source:011,이마트윤약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,10:00~22:00,10:00~22:00,parsed,10:00,22:00,False,,wonju:13193188,auto_matched,source_values,False
pharmacy-source:011:sunday,pharmacy-source:011,이마트윤약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,10:00~22:00,10:00~22:00,parsed,10:00,22:00,False,,wonju:13193188,auto_matched,source_values,False
pharmacy-source:012:weekday,pharmacy-source:012,행복약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~21:00,08:00~21:00,parsed,08:00,21:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:012:saturday,pharmacy-source:012,행복약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~19:00,08:00~19:00,parsed,08:00,19:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:012:sunday,pharmacy-source:012,행복약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,08:00~20:30,08:00~20:30,parsed,08:00,20:30,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:013:weekday,pharmacy-source:013,온누리바다약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:30~21:00,08:30~21:00,parsed,08:30,21:00,False,,wonju:13193270,auto_matched,source_values,False
pharmacy-source:013:saturday,pharmacy-source:013,온누리바다약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:30~18:00,08:30~18:00,parsed,08:30,18:00,False,,wonju:13193270,auto_matched,source_values,False
pharmacy-source:013:sunday,pharmacy-source:013,온누리바다약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,-,-,not_provided,,,False,,wonju:13193270,auto_matched,source_values,False
pharmacy-source:014:weekday,pharmacy-source:014,유한약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193257,auto_matched,source_values,False
pharmacy-source:014:saturday,pharmacy-source:014,유한약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193257,auto_matched,source_values,False
pharmacy-source:014:sunday,pharmacy-source:014,유한약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:30~21:00,09:30~21:00,parsed,09:30,21:00,False,,wonju:13193257,auto_matched,source_values,False
pharmacy-source:015:weekday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:015:saturday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~20:00,08:00~20:00,parsed,08:00,20:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:015:sunday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:00~19:00,09:00~19:00,parsed,09:00,19:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:016:weekday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:016:saturday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:016:sunday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:017:weekday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:017:saturday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:017:sunday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,12:00~22:00,12:00~22:00,parsed,12:00,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:018:weekday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:018:saturday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~17:00,09:00~17:00,parsed,09:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:018:sunday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,10:00~17:00,10:00~17:00,parsed,10:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:019:weekday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:019:saturday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:019:sunday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,12:30~22:00,12:30~22:00,parsed,12:30,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:020:weekday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:020:saturday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:020:sunday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:021:weekday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:021:saturday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:021:sunday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:022:weekday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~21:00,08:00~21:00,parsed,08:00,21:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:022:saturday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~19:00,08:00~19:00,parsed,08:00,19:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:022:sunday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~20:30,08:00~20:30,parsed,08:00,20:30,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:023:weekday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:023:saturday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:023:sunday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:024:weekday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:024:saturday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:024:sunday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:025:weekday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:025:saturday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:025:sunday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
