doc_id,title,category,url,reference_date,reference_date_basis,retrieved_at,raw_path,sha256,http_status,content_type,content_length,collection_status
p1doc:59b18b7d1b890af6efe3,안내/오시는길 | 센터소개,mental_health,https://loveme.yonsei.kr/sub.php?menukey=12,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:24+09:00,data/p1_rag/raw/pages/p1doc_59b18b7d1b890af6efe3.html,52b71b02ddcf5454e4b8820e91a4e02edcf3ff0aebcce7476892509a8e56d3bd,200,text/html; charset=UTF-8,24060,collected
p1doc:d0852d059ed50986d64f,인사말 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1620,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:27+09:00,data/p1_rag/raw/pages/p1doc_d0852d059ed50986d64f.html,e6461d1e937df23e4130bf21e539764db4c957cda2c4af424f9eb613552136cc,200,text/html;charset=UTF-8,106569,collected
p1doc:00c5f1b92052afcec0bc,현황 및 연혁 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1621,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:24+09:00,data/p1_rag/raw/pages/p1doc_00c5f1b92052afcec0bc.html,23620d26bdd9479927e4d76a2b27d679f95121173bcd26048a419d691f5529b9,200,text/html;charset=UTF-8,114582,collected
p1doc:df5a9e133ebcc5a21d2a,층별안내 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1623,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:25+09:00,data/p1_rag/raw/pages/p1doc_df5a9e133ebcc5a21d2a.html,cd1ed5297ef3ece672881b4d1a49adf2effbb30531c34d0068f2f3f8344dee72,200,text/html;charset=UTF-8,112772,collected
p1doc:2c0b3ce5773680e2d981,찾아오시는 길 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1624,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:25+09:00,data/p1_rag/raw/pages/p1doc_2c0b3ce5773680e2d981.html,b79e6989f5b7e45232657c7840c59f6dc70e7da615e98d250e227fede7452a7c,200,text/html;charset=UTF-8,106068,collected
p1doc:47c8f709b80f26a09762,일반진료 - 진료안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1627,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:25+09:00,data/p1_rag/raw/pages/p1doc_47c8f709b80f26a09762.html,4f9b1781ebe11fa4fdc90a5cd0beb46e816c92c995cb24f1de9c0d8035faa9ba,200,text/html;charset=UTF-8,106930,collected
p1doc:e66d4b66eaab1e36a2bf,한방진료 - 진료안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1628,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:28+09:00,data/p1_rag/raw/pages/p1doc_e66d4b66eaab1e36a2bf.html,8f3457d68d8adce0cbc876a91ea69292176839acc9e36d6638c5d04168ea0988,200,text/html;charset=UTF-8,107916,collected
p1doc:86cdd9d9829213ea46e9,체성분검사 - 검사안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1633,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:28+09:00,data/p1_rag/raw/pages/p1doc_86cdd9d9829213ea46e9.html,9592ea5888b683e494a5c9b8e9993f9d96e3bdb45386b14ba70c5ff52e63ea13,200,text/html;charset=UTF-8,106307,collected
p1doc:710e9668377a0200e802,성매개감염병검사 - 검사안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1637,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:25+09:00,data/p1_rag/raw/pages/p1doc_710e9668377a0200e802.html,6ef5ae612f4271f7eac5ff8f7fd405d4aa70cbd194e963c5d7f8d097bae7d70e,200,text/html;charset=UTF-8,110498,collected
p1doc:72cf56f0b44daaeaaffa,결핵검사 - 검사안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1638,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:26+09:00,data/p1_rag/raw/pages/p1doc_72cf56f0b44daaeaaffa.html,e5bc9ad8bd89ba1a6787dba49e59dbd3fea804f18077ae006d18080f31725617,200,text/html;charset=UTF-8,107236,collected
p1doc:d2002bff0987df7b12da,임상병리검사 - 검사안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1639,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:28+09:00,data/p1_rag/raw/pages/p1doc_d2002bff0987df7b12da.html,7ffa5ec2feb2b51f1e6a9d30b2a693e50505378e7124f243edce375526865bb7,200,text/html;charset=UTF-8,113159,collected
p1doc:40946f78235fac3abda8,에이즈검사 - 검사안내 - 진료 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1640,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:30+09:00,data/p1_rag/raw/pages/p1doc_40946f78235fac3abda8.html,c2efdb11b80c10493f4b45bb432af50b81d8f4e69f42718ce81f789cfddd7998,200,text/html;charset=UTF-8,109413,collected
p1doc:2ce6b108370bcde1fa92,어린이 예방접종 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1648,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:29+09:00,data/p1_rag/raw/pages/p1doc_2ce6b108370bcde1fa92.html,0ad6203323e301cb422944835d98ad784541f9cbd7ab5c2cd0773785d8eee182,200,text/html;charset=UTF-8,135456,collected
p1doc:5d54e6962d3e55e1f2bc,예방접종증명서 발급 - 어린이 예방접종 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1649,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:28+09:00,data/p1_rag/raw/pages/p1doc_5d54e6962d3e55e1f2bc.html,319c429338575c50510bf175dc0177c0226617f32f309c7c9609a62d78ec11bd,200,text/html;charset=UTF-8,117482,collected
p1doc:a34f6ca15f960af29e80,어린이 예방접종 일정표 - 어린이 예방접종 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1650,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:29+09:00,data/p1_rag/raw/pages/p1doc_a34f6ca15f960af29e80.html,587b8b27449bdc75358f859d4002861e94aeb9600a5bb36558b36d1eaa16ff11,200,text/html;charset=UTF-8,124662,collected
p1doc:3dd909b1a78366c73df3,국가예방접종 - 어린이 예방접종 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1651,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:29+09:00,data/p1_rag/raw/pages/p1doc_3dd909b1a78366c73df3.html,d4061b5117a4fe952491e55ee5ff662074a524b192065f64e2f7c1f5b1901fcb,200,text/html;charset=UTF-8,120239,collected
p1doc:992eb34fffe3ffd885ff,성인 예방접종 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1652,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:30+09:00,data/p1_rag/raw/pages/p1doc_992eb34fffe3ffd885ff.html,a491bcf3b3c8de876d8dd234adec2e4f7de1f0647eb49b78a04cb958dc690a49,200,text/html;charset=UTF-8,118929,collected
p1doc:8a3a878fe6a0da141abe,예방접종 주의사항 - 예방접종 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1653,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:29+09:00,data/p1_rag/raw/pages/p1doc_8a3a878fe6a0da141abe.html,c4a8c65c72ca64cf3d20008768647bc121216af2058afd186d1692652dcc42ae,200,text/html;charset=UTF-8,119652,collected
p1doc:f4cfff424b1f4700a70e,제증명발급 및 수수료 - 정보마당 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1656,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:30+09:00,data/p1_rag/raw/pages/p1doc_f4cfff424b1f4700a70e.html,0eb8a67e115e0d2c0d31b2ef64f5beb3e6bfc46b0d954aa81d444fdce8005d30,200,text/html;charset=UTF-8,115852,collected
p1doc:35528dad3ca651f751dc,약물 오남·용 - 약 바로알기 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1670,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:31+09:00,data/p1_rag/raw/pages/p1doc_35528dad3ca651f751dc.html,09eac806b7bf8257eecfdc501cab5d092877ce57f5fcc8d8828604ea4b4867ff,200,text/html;charset=UTF-8,110665,collected
p1doc:9517f44b4473da0ee45e,중독관리 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1671,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:25+09:00,data/p1_rag/raw/pages/p1doc_9517f44b4473da0ee45e.html,0870fb2a1cddf7645890d5e8046f601a947bdcd87083c099f6e64ef627fe354f,200,text/html;charset=UTF-8,118201,collected
p1doc:28f862e46fe97c55959a,마약류 소개 - 약 바로알기 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1672,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:31+09:00,data/p1_rag/raw/pages/p1doc_28f862e46fe97c55959a.html,d4dc6031fcdf6f312a3740d660569855a381aa61cea7d2f02a09f70d7dfc9a61,200,text/html;charset=UTF-8,111024,collected
p1doc:263279c2658d7610086c,심폐소생술 - 응급상식 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1687,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:32+09:00,data/p1_rag/raw/pages/p1doc_263279c2658d7610086c.html,98e43ed3b9645f969ccecbf260fdb21bcdd7f8f70be5ec2c4aeb662a785bc167,200,text/html;charset=UTF-8,114079,collected
p1doc:d89a1e2f6791653ebc52,소아 심폐소생술 - 응급상식 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1688,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:32+09:00,data/p1_rag/raw/pages/p1doc_d89a1e2f6791653ebc52.html,448f34f65f82330ded5206bfe6465ea1616699609dd176eb1dfad0d7ba5b7737,200,text/html;charset=UTF-8,111439,collected
p1doc:2439593df3a61d71a523,기도폐쇄 - 응급상식 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1689,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:32+09:00,data/p1_rag/raw/pages/p1doc_2439593df3a61d71a523.html,b1d889a0dce0e7dddca5e24afa74603041fc7b106e91307a99aea4c32d8eef8c,200,text/html;charset=UTF-8,110068,collected
p1doc:b20bd37fc76cc8a0c04c,상황별응급처치 - 응급상식 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1690,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:33+09:00,data/p1_rag/raw/pages/p1doc_b20bd37fc76cc8a0c04c.html,0937ab22f60888df2dea601592b3d78415ebfb0f08a24ecef99b9a49a8c4eae6,200,text/html;charset=UTF-8,118786,collected
p1doc:67e5cad88097cf2660c4,니코틴의존도 - 건강자기진단 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1692,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:34+09:00,data/p1_rag/raw/pages/p1doc_67e5cad88097cf2660c4.html,6978a668c76e3013e99483b186c79b0dfddfb6d90efdb060e921060022dcf292,200,text/html;charset=UTF-8,116419,collected
p1doc:4ce42c117028bdff28bf,비만 - 건강자기진단 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1697,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:34+09:00,data/p1_rag/raw/pages/p1doc_4ce42c117028bdff28bf.html,0b1ab6cc545f0674883037573fe3863224b688ed4737d8cc4e5d7289855d9c2b,200,text/html;charset=UTF-8,117609,collected
p1doc:3d8c9911601d21b77f30,치매진단 - 건강자기진단 - 건강정보 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1699,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:37+09:00,data/p1_rag/raw/pages/p1doc_3d8c9911601d21b77f30.html,4d2200d5e8cc90e07f4b1fbd9ab11c7421d0b3ee335a3d54cacb1d7f65bf2f04,200,text/html;charset=UTF-8,121880,collected
p1doc:962297fa75f508b58e75,영양사업 - 영양사업 - 건강증진 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1704,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:39+09:00,data/p1_rag/raw/pages/p1doc_962297fa75f508b58e75.html,f3d2b89f8108a3ab41300f93fac6bdfe2242b2b1a7416c2504ed6c1ce017fc13,200,text/html;charset=UTF-8,118185,collected
p1doc:be41e72d99ea3bdd2476,영양플러스사업 - 영양사업 - 건강증진 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1705,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:39+09:00,data/p1_rag/raw/pages/p1doc_be41e72d99ea3bdd2476.html,7098336fa3243aab699b2fe152d0d16e14cd154d0bd09e46eee63a724f1b696f,200,text/html;charset=UTF-8,120260,collected
p1doc:2e8cf3dceaf8f6e0f364,신체활동사업 - 건강증진 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1706,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:40+09:00,data/p1_rag/raw/pages/p1doc_2e8cf3dceaf8f6e0f364.html,a7bf8e6e06f286ea584517e041bc25f0b23ac3beff30f754973856184071d83b,200,text/html;charset=UTF-8,117209,collected
p1doc:75ee1649ca43834d53fd,금연클리닉안내 - 금연사업 - 건강증진 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1709,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:40+09:00,data/p1_rag/raw/pages/p1doc_75ee1649ca43834d53fd.html,3770b8dc3ea3dca272330e5ea5d1607d8e77b758603490a52e9ea7d2641dd228,200,text/html;charset=UTF-8,123118,collected
p1doc:fb0036d2d6c37fb69952,금연교육사업 - 금연사업 - 건강증진 - 보건 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1711,2026-07-16,collection_date_no_published_date,2026-07-16T02:20:40+09:00,data/p1_rag/raw/pages/p1doc_fb0036d2d6c37fb69952.html,5bb3d4240ab9e1269303e5d4176aaed35d4a6479796aed580aec01cc22036574,200,text/html;charset=UTF-8,117998,collected
